Position_data
Positionêî=	481
POSITION_TICKET	POSITION_TIME	POSITION_TIME_MSC	POSITION_TIME_UPDATE	POSITION_TIME_UPDATE_MSC	POSITION_TYPE	POSITION_MAGIC	POSITION_IDENTIFIER	POSITION_REASON	POSITION_VOLUME	POSITION_PRICE_OPEN	POSITION_SL	POSITION_TP	POSITION_PRICE_CURRENT	POSITION_SWAP	POSITION_PROFIT	POSITION_COMMENT	status	max_price	max_subtime	min_price	min_time	open_sigma_Fb	open_sigmaLb	open_bollinger_bandwide_Fb	open_bollinger_bandwide_Fb_o1	open_bollinger_bandwide_Fb_o2	open_bollinger_bandwide_Fb_o3	open_bollinger_bandwide_Fb_o4	open_bollinger_bandwide_Fb_o5	open_bollinger_bandwide_Lb	open_bollinger_bandwide_Lb_o1	open_bollinger_bandwide_Lb_o2	open_bollinger_bandwide_Lb_o3	open_bollinger_bandwide_Lb_o4	open_bollinger_bandwide_Lb_o5	open_katamuki_F	open_katamuki1_F	open_katamuki2_F	open_katamuki3_F	open_katamuki_L	open_katamuki1_L	open_katamuki2_L	open_katamuki3_L	open_katamuki_EMA_A	open_katamuki_EMA_A1	open_katamuki_EMA_A2	open_katamuki_EMA_B1	open_katamuki_EMA_B2	open_katamuki_EMA_C1	open_katamuki_EMA_C2	open_state_tyouki_chikou_innyou	open_state_tyouki_kumo_innyou	open_state_tanki__chikou_innyou	open_state_tanki__kumo_innyou	open_mode_span_pattern	max_sigma	min_sigma	agatte_sagaru	sagatte_agaru
874	2018.05.15 16:00	1526400000000	1526400000	1526400000000	POSITION_TYPE_BUY	16384	874	POSITION_REASON_EXPERT	0.10000	110.20400	110.00300	110.65400	110.32000	0.00000	31.39000	441##0#0.0#	2	34.70000000	154800	12.10000000	100800	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0	0	0	0	0	0.00000000	0.00000000	30.40000000	46.80000000
876	2018.05.23 06:00	1527055200000	1527055200	1527055200000	POSITION_TYPE_SELL	16384	876	POSITION_REASON_EXPERT	0.10000	110.46100	110.66300	110.01100	110.52400	0.00000	12.24000	442##0#0.0#	2	6.20000000	3600	13.60000000	14400	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0	0	0	0	0	0.00000000	0.00000000	19.80000000	6.20000000
880	2018.06.08 12:00	1528459200000	1528459200	1528459200000	POSITION_TYPE_SELL	16384	880	POSITION_REASON_EXPERT	0.10000	109.31900	109.52200	108.86900	109.31600	0.00000	-16.35000	444##0#0.0#	2	17.60000000	14400	6.50000000	7200	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0	0	0	0	0	0.00000000	0.00000000	6.50000000	24.10000000
882	2018.06.12 04:00	1528776000000	1528776000	1528776000000	POSITION_TYPE_BUY	16384	882	POSITION_REASON_EXPERT	0.10000	110.31700	110.11500	110.76700	110.37700	0.00000	-8.89000	445##0#0.0#	2	6.70000000	14400	9.80000000	28800	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0	0	0	0	0	0.00000000	0.00000000	16.50000000	15.80000000
884	2018.06.14 00:00	1528934400000	1528934400	1528934400000	POSITION_TYPE_SELL	16384	884	POSITION_REASON_EXPERT	0.10000	110.31500	110.54300	109.86500	110.25300	0.00000	-11.23000	446##0#0.0#	2	12.60000000	68400	38.90000000	39600	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0	0	0	0	0	0.00000000	0.00000000	38.90000000	51.50000000
888	2018.06.19 06:00	1529388000000	1529388000	1529388000000	POSITION_TYPE_SELL	16384	888	POSITION_REASON_EXPERT	0.10000	109.91600	110.12000	109.46600	109.77000	0.00000	-11.27000	448##0#0.0#	2	15.30000000	57600	31.90000000	10800	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0	0	0	0	0	0.00000000	0.00000000	31.90000000	47.20000000
890	2018.06.21 06:00	1529560800000	1529560800	1529560800000	POSITION_TYPE_BUY	16384	890	POSITION_REASON_EXPERT	0.10000	110.59000	110.38600	111.04000	110.56600	0.00000	-4.98000	449##0#0.0#	2	9.30000000	10800	5.50000000	18000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0	0	0	0	0	0.00000000	0.00000000	14.80000000	11.70000000
892	2018.06.21 19:00	1529607600000	1529607600	1529607600000	POSITION_TYPE_SELL	16384	892	POSITION_REASON_EXPERT	0.10000	110.04300	110.24400	109.59300	109.95800	0.00000	8.82000	450##0#0.0#	2	13.50000000	72000	18.80000000	277200	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0	0	0	0	0	0.00000000	0.00000000	32.30000000	31.70000000
894	2018.06.26 00:00	1529971200000	1529971200	1529971200000	POSITION_TYPE_BUY	16384	894	POSITION_REASON_EXPERT	0.10000	109.78100	109.54200	110.23100	109.72900	0.00000	-13.04000	451##0#0.0#	2	0.00000000	0	14.30000000	10800	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0	0	0	0	0	0.00000000	0.00000000	14.30000000	0.00000000
896	2018.07.19 22:00	1532037600000	1532037600	1532037600000	POSITION_TYPE_SELL	16384	896	POSITION_REASON_EXPERT	0.10000	112.46300	112.66400	112.01300	112.50000	0.00000	17.64000	452##0#0.0#	2	6.30000000	21600	24.60000000	36000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0	0	0	0	0	0.00000000	0.00000000	30.90000000	22.80000000
